transaction_id,user_id,transaction_date,amount,merchant,category,payment_method,location
T11325374,U15285,29/12/2024,281.59,Tesco,Utilities,UPI,Coventry
T37220053,U11528,18/07/2025,54.51,Tesco,Entertainment,Debit Card,Leeds
T76878509,U23602,26/09/2025,449.21,Boots,Utilities,Cash,Liverpool
T48563114,U82145,13/08/2025,294,Coursera,Healthcare,Credit Card,Sheffield
T97862409,U95596,30/09/2025,280.89,Uber,Education,Cash,Leeds
T43141553,U54728,29/06/2025,196.47,Asda,Utilities,Bank Transfer,Sheffield
T42841486,U37633,04/06/2025,387.78,Tesco,Groceries,Cash,London
T85102826,U64336,27/02/2025,357.93,Asda,Entertainment,Credit Card,Manchester
T48999188,U31309,26/08/2025,446.4,Spotify,Education,Bank Transfer,Manchester
T65413767,U58707,07/06/2025,404.92,Boots,Entertainment,Cash,Sheffield
T57755207,U22187,02/09/2025,423.11,Tesco,Dining Out,UPI,Coventry
T55608896,U69077,17/06/2025,430.27,Tesco,Healthcare,Cash,Leeds
T91416728,U46986,06/09/2025,481.22,Asda,Rent,UPI,Manchester
T13893406,U31826,27/06/2025,217.83,Uber,Education,Credit Card,Liverpool
T79202436,U18623,24/11/2024,402.77,Boots,Healthcare,Debit Card,Birmingham
T24827641,U80357,26/02/2025,21.26,Coursera,Entertainment,Credit Card,London
T87362905,U69436,23/05/2025,20.82,Netflix,Education,Debit Card,Coventry
T10447600,U68452,06/08/2025,309.07,Uber,Groceries,UPI,Glasgow
T24784760,U25923,09/03/2025,360.98,Uber,Miscellaneous,UPI,London
T67955436,U77437,07/09/2025,345.7,Asda,Education,Cash,Glasgow
T64461638,U58649,21/03/2025,118.16,Asda,Transport,Cash,Manchester
T54349027,U28357,04/07/2025,146.1,Coursera,Dining Out,Bank Transfer,Leeds
T54347517,U78136,06/08/2025,470.14,Netflix,Rent,Cash,Manchester
T38638283,U32589,17/02/2025,52.61,Coursera,Dining Out,Credit Card,Coventry
T35947018,U82513,07/03/2025,18.17,Netflix,Miscellaneous,Cash,Sheffield
T96948189,U13980,18/01/2025,131.26,Netflix,Rent,Credit Card,Coventry
T32754215,U15056,11/02/2025,277.03,Local Market,Dining Out,Cash,Glasgow
T16152305,U42730,10/10/2025,340.54,McDonalds,Utilities,UPI,Leeds
T28856808,U37481,11/04/2025,231.09,Boots,Miscellaneous,Debit Card,Sheffield
T59883770,U99555,09/03/2025,228.83,Tesco,Rent,Cash,Manchester
T47681304,U71756,16/08/2025,74.39,Uber,Education,Bank Transfer,Manchester
T52833237,U41929,23/05/2025,384.3,Amazon,Miscellaneous,Credit Card,Liverpool
T89703247,U94402,03/10/2025,173.94,Asda,Healthcare,UPI,Sheffield
T28192378,U28726,10/06/2025,163.33,Netflix,Entertainment,Bank Transfer,London
T85299881,U41440,09/04/2025,239.57,Local Market,Education,Bank Transfer,Birmingham
T43725739,U64342,07/03/2025,70.31,Amazon,Dining Out,UPI,Sheffield
T41874105,U77864,11/02/2025,266.12,Uber,Entertainment,Bank Transfer,Glasgow
T27223707,U96866,21/02/2025,192.3,McDonalds,Entertainment,Credit Card,Manchester
T44238906,U20637,02/08/2025,107.79,Netflix,Entertainment,Debit Card,Leeds
T71532335,U65578,06/03/2025,138.66,Local Market,Dining Out,UPI,Birmingham
T26582653,U29408,05/11/2024,6.88,Uber,Healthcare,Credit Card,Glasgow
T71241524,U67095,12/10/2024,466.11,McDonalds,Entertainment,UPI,Glasgow
T64586398,U41839,17/02/2025,389.58,Asda,Transport,Debit Card,Liverpool
T69713925,U60725,19/04/2025,447.64,Tesco,Utilities,Debit Card,Leeds
T13294372,U53089,04/09/2025,47.81,Uber,Groceries,Debit Card,Coventry
T83051676,U43477,06/11/2024,160.85,Coursera,Education,UPI,Glasgow
T78854181,U28514,08/06/2025,218.95,McDonalds,Rent,Cash,London
T98313490,U29507,11/09/2025,310.3,Amazon,Education,Credit Card,Glasgow
T78017736,U81652,21/09/2025,478.01,Amazon,Entertainment,Debit Card,Coventry
T58585820,U51584,01/05/2025,345.39,Boots,Rent,UPI,Coventry
T20954995,U90061,30/01/2025,57.68,Spotify,Utilities,Cash,Birmingham
T75450652,U95776,02/07/2025,299.9,Coursera,Utilities,Credit Card,Leeds
T88139513,U43066,05/09/2025,55,Asda,Dining Out,Bank Transfer,London
T52197315,U58760,06/02/2025,178.57,Spotify,Utilities,Bank Transfer,Birmingham
T19532155,U64728,25/11/2024,163.44,Spotify,Education,UPI,Glasgow
T45279422,U39504,28/12/2024,13.06,Boots,Healthcare,Debit Card,Coventry
T76970612,U41295,23/01/2025,107.02,Asda,Healthcare,Cash,Birmingham
T91487896,U42374,25/01/2025,407.31,McDonalds,Miscellaneous,Debit Card,London
T73968334,U47070,05/03/2025,253.56,McDonalds,Miscellaneous,Bank Transfer,London
T54433376,U79973,20/03/2025,273.51,Asda,Rent,Credit Card,Birmingham
T74701828,U86263,25/04/2025,261.17,Uber,Transport,Cash,Sheffield
T70600330,U86496,07/10/2025,426.57,Asda,Utilities,Cash,Glasgow
T64254758,U33532,17/09/2025,240.36,Spotify,Groceries,Debit Card,Manchester
T33076527,U48765,15/07/2025,293.54,Local Market,Entertainment,Bank Transfer,Manchester
T30773569,U56947,06/09/2025,393.68,Netflix,Education,Cash,Sheffield
T70492656,U46969,28/01/2025,101.23,Coursera,Groceries,Cash,Birmingham
T79956615,U96803,09/02/2025,27.6,McDonalds,Groceries,Debit Card,London
T80576117,U62582,10/11/2024,315.72,Local Market,Dining Out,Debit Card,Manchester
T42760877,U36308,29/01/2025,293.23,Coursera,Transport,Credit Card,Leeds
T63635896,U61582,18/06/2025,389.88,Asda,Utilities,Credit Card,Glasgow
T22846433,U92083,13/08/2025,81.93,Local Market,Entertainment,Bank Transfer,London
T81255755,U89786,02/10/2025,272.05,Local Market,Healthcare,UPI,Birmingham
T30726726,U46091,07/03/2025,491.38,McDonalds,Dining Out,Debit Card,London
T76290274,U17371,05/09/2025,437.6,Tesco,Transport,Cash,Coventry
T72539200,U91627,29/10/2024,346.42,Amazon,Transport,UPI,Glasgow
T37138227,U10570,21/04/2025,97.34,Asda,Dining Out,Debit Card,Manchester
T59436558,U38703,17/07/2025,14.5,Coursera,Education,Credit Card,Sheffield
T38116396,U27135,15/07/2025,240.99,Asda,Groceries,Debit Card,Manchester
T92198888,U21533,05/05/2025,450.54,Boots,Transport,Debit Card,Manchester
T48991885,U94030,06/03/2025,193.17,Local Market,Groceries,Debit Card,Glasgow
T51468643,U64819,07/05/2025,204.58,Spotify,Education,Debit Card,Manchester
T95177890,U73370,14/02/2025,326.52,Boots,Healthcare,UPI,Coventry
T23243217,U21593,17/03/2025,306.02,Boots,Education,Credit Card,Sheffield
T23275872,U57058,21/03/2025,144.36,Tesco,Dining Out,UPI,London
T90787408,U13363,30/09/2025,80.34,Coursera,Education,Credit Card,Leeds
T45324131,U36561,31/07/2025,277.34,Tesco,Utilities,Credit Card,Leeds
T34201357,U88643,08/11/2024,376.88,Asda,Education,Cash,Sheffield
T70634583,U51454,25/06/2025,362.51,Uber,Education,Debit Card,Manchester
T76007145,U73574,03/06/2025,179.18,Tesco,Miscellaneous,Debit Card,Liverpool
T97071742,U77451,22/11/2024,150,Netflix,Groceries,Credit Card,Sheffield
T63592446,U46201,03/09/2025,24.36,Spotify,Dining Out,Debit Card,Leeds
T55410826,U74644,12/07/2025,463.99,Tesco,Entertainment,Cash,Glasgow
T89019165,U89508,30/01/2025,371.46,Boots,Healthcare,UPI,Glasgow
T87773366,U15734,07/12/2024,304.7,Coursera,Healthcare,Debit Card,Leeds
T84650561,U32612,22/08/2025,135.73,McDonalds,Groceries,UPI,Glasgow
T14724395,U68781,17/06/2025,499.68,Coursera,Transport,Cash,Leeds
T67132158,U23931,25/06/2025,69.25,Spotify,Transport,UPI,Birmingham
T58232739,U26928,10/03/2025,6.17,McDonalds,Utilities,Bank Transfer,Birmingham
T46950301,U66058,15/09/2025,467.11,Uber,Miscellaneous,Cash,Manchester
T12672279,U15880,04/01/2025,108.08,McDonalds,Entertainment,UPI,Sheffield
